,movieId,title,genres,budget,revenue,runtime,release_date,vote_average_tmdb,vote_count_tmdb,mean_rating,num_votes,std_rating,all_tags,primary_genre,tsne_1,tsne_2
44,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,55000000.0,346079773.0,82.0,1995-06-16,6.911,5974.0,3.1470588235294117,68.0,1.0546939271988995,,Animation,74.36355,4.139716
45,49,When Night Is Falling (1995),Drama|Romance,0.0,0.0,94.0,1995-02-01,6.261,88.0,3.0,1.0,,,Drama,-71.0152,-7.575175
46,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,6000000.0,23300000.0,106.0,1995-07-19,8.171,11123.0,4.237745098039215,204.0,0.8009211530017211,mindfuck suspense thriller tricky twist ending heist,Crime,86.424805,11.915233
47,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,15000000.0,26000000.0,94.0,1995-09-13,6.715,729.0,3.4642857142857144,28.0,0.8705954904182011,adoption prostitution,Comedy,51.59072,19.299503
48,53,Lamerica (1994),Adventure|Drama,0.0,0.0,112.0,1994-09-09,7.1,62.0,5.0,2.0,0.0,,Adventure,13.016311,74.703926
49,54,"Big Green, The (1995)",Children|Comedy,0.0,0.0,99.0,1995-09-29,5.6,195.0,2.3333333333333335,3.0,1.5275252316519468,,Children,16.545467,-49.38961
50,55,Georgia (1995),Drama,0.0,1110974.0,118.0,1995-05-19,5.7,46.0,4.0,1.0,,,Drama,-43.56267,50.524666
51,57,Home for the Holidays (1995),Drama,20000000.0,22119269.0,105.0,1995-11-02,6.2,187.0,3.0625,8.0,0.8634441002668987,,Drama,-2.2837732,-16.333155
52,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3000000.0,33000000.0,108.0,1994-09-22,7.9,1194.0,4.027027027027027,37.0,0.9200388423710553,writing,Comedy,56.388638,29.759357
53,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,45000000.0,35700000.0,96.0,1995-07-14,6.458,661.0,3.235294117647059,34.0,1.0242165824878726,,Adventure,53.122524,1.1537508
54,61,Eye for an Eye (1996),Drama|Thriller,20000000.0,26877589.0,101.0,1996-01-12,6.208,448.0,3.75,6.0,0.8803408430829505,,Drama,-11.7995825,-11.43151
55,62,Mr. Holland's Opus (1995),Drama,31000000.0,106300000.0,143.0,1995-12-29,6.954,441.0,3.70625,80.0,1.0484882124495105,music,Drama,75.664825,12.260675
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,3800000.0,20100000.0,85.0,1996-01-12,7.0,1438.0,2.7142857142857144,7.0,1.14953406710222,,Comedy,12.381469,-38.665485
57,64,Two if by Sea (1996),Comedy|Romance,0.0,10658278.0,96.0,1996-01-12,4.9,97.0,2.2,5.0,0.8366600265340756,,Comedy,-6.520545,-44.423565
58,65,Bio-Dome (1996),Comedy,8500000.0,13400000.0,88.0,1996-01-12,4.519,393.0,2.532258064516129,31.0,1.0562156019721836,,Comedy,7.635977,-60.12122
59,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,15000000.0,2409225.0,93.0,1996-01-12,3.289,168.0,2.5,9.0,1.118033988749895,,Action,5.188319,-58.863148
60,68,French Twist (Gazon maudit) (1995),Comedy|Romance,0.0,0.0,105.0,1995-01-18,6.057,318.0,3.4,5.0,1.140175425099138,,Comedy,6.412799,-13.692652
61,69,Friday (1995),Comedy,3500000.0,28215918.0,87.0,1995-04-26,7.1,1949.0,3.775,20.0,0.89552983434977,,Comedy,46.552204,22.607212
62,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,19000000.0,25800000.0,107.0,1996-01-19,7.036,6332.0,3.5090909090909093,55.0,1.0160330862345146,,Action,63.97254,19.111328
63,71,Fair Game (1995),Action,50000000.0,11500000.0,90.0,1995-11-03,5.12,329.0,1.7,5.0,0.4472135954999579,,Action,-14.875391,-47.013695
64,72,Kicking and Screaming (1995),Comedy|Drama,0.0,718490.0,96.0,1995-10-06,6.177,232.0,3.2142857142857144,7.0,1.2863754913562,,Comedy,8.317611,-15.58468
65,73,"Misérables, Les (1995)",Drama|War,0.0,0.0,175.0,1995-03-22,6.7,83.0,3.4615384615384617,13.0,0.6910601294852007,,Drama,31.433258,46.480618
66,74,Bed of Roses (1996),Drama|Romance,0.0,19030691.0,87.0,1996-01-26,5.847,121.0,4.0,8.0,0.7559289460184544,,Drama,-10.753701,-1.2891827
67,75,Big Bully (1996),Comedy|Drama,15000000.0,2042530.0,90.0,1996-01-26,4.6,77.0,2.2,5.0,1.0954451150103324,,Comedy,4.2292604,-57.11012
68,76,Screamers (1995),Action|Sci-Fi|Thriller,20000000.0,5781885.0,108.0,1995-09-08,6.224,585.0,3.4,15.0,1.1982129550769702,,Action,24.84611,-14.819302
69,77,Nico Icon (1995),Documentary,0.0,0.0,70.0,1995-09-08,7.5,10.0,4.0,1.0,,,Documentary,-33.26383,79.41697
70,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,0.0,0.0,111.0,1995-01-26,6.0,282.0,3.3333333333333335,3.0,0.5773502691896258,,Action,-17.259193,-2.1385138
71,79,"Juror, The (1996)",Drama|Thriller,44000000.0,22754725.0,125.0,1996-02-02,5.671,427.0,2.764705882352941,17.0,1.200490095997562,,Drama,37.72819,-39.034565
72,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,0.0,0.0,85.0,1995-01-02,7.5,102.0,4.0,2.0,0.0,,Children,-28.242245,75.69139
73,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,8000000.0,529766.0,116.0,1995-12-01,6.5,415.0,3.107142857142857,14.0,0.7640623068776583,,Crime,22.696943,-4.7675495
74,82,Antonia's Line (Antonia) (1995),Comedy|Drama,900000.0,0.0,102.0,1995-09-21,6.904,140.0,3.875,8.0,1.4820352800890308,,Comedy,15.898347,7.1889215
75,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,0.0,0.0,115.0,1996-01-26,3.6,5.0,3.0,1.0,,,Drama,-80.35857,7.377753
76,85,Angels and Insects (1995),Drama|Romance,0.0,0.0,118.0,1995-09-10,6.134,56.0,3.857142857142857,7.0,1.5735915849388864,,Drama,5.547824,-22.754444
77,86,White Squall (1996),Action|Adventure|Drama,38000000.0,10300000.0,125.0,1996-02-02,6.258,392.0,3.966666666666667,15.0,0.7668736780560658,,Action,29.779116,9.8229265
78,87,Dunston Checks In (1996),Children|Comedy,16000000.0,0.0,84.0,1996-01-12,5.369,241.0,2.5,7.0,0.957427107756338,,Children,6.1288757,-50.321354
79,88,Black Sheep (1996),Comedy,32400000.0,32000000.0,87.0,1996-02-01,6.072,445.0,3.15625,16.0,1.1792476415070754,,Comedy,14.504302,-19.545584
80,89,Nick of Time (1995),Action|Thriller,33000000.0,8175346.0,90.0,1995-11-22,6.232,777.0,3.25,10.0,0.754615428178118,,Action,32.68981,-13.41214
81,92,Mary Reilly (1996),Drama|Horror|Thriller,47000000.0,12379402.0,108.0,1996-02-23,5.757,336.0,2.625,8.0,1.0264362759428507,Jekyll and Hyde,Drama,35.6465,-38.93877
82,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,14000000.0,19800000.0,96.0,1995-10-26,5.08,619.0,2.8333333333333335,9.0,1.0307764064044151,,Comedy,6.067665,-29.251566
83,94,Beautiful Girls (1996),Comedy|Drama|Romance,16000000.0,27000000.0,112.0,1996-02-09,6.636,389.0,3.95,10.0,0.4972144630058766,,Comedy,9.836081,37.511375
84,95,Broken Arrow (1996),Action|Adventure|Thriller,50000000.0,150300000.0,108.0,1996-02-09,6.062,1622.0,3.0238095238095237,84.0,1.0146658358604672,,Action,73.599014,11.536465
85,96,In the Bleak Midwinter (1995),Comedy|Drama,0.0,0.0,99.0,1995-09-29,7.1,42.0,3.5,1.0,,theater,Comedy,-66.737915,34.72166
86,97,"Hate (Haine, La) (1995)",Crime|Drama,2600000.0,15300000.0,98.0,1995-05-31,8.1,4417.0,3.9,10.0,0.7378647873726218,,Crime,8.84702,31.721874
87,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,0.0,0.0,106.0,1995-12-27,6.6,14.0,5.0,2.0,0.0,,Documentary,9.361158,74.67048
88,100,City Hall (1996),Drama|Thriller,40000000.0,33440204.0,111.0,1996-02-16,5.9,308.0,2.7857142857142856,14.0,0.699293206753068,,Drama,36.070053,-31.007011
89,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,7000000.0,1040879.0,91.0,1996-02-21,6.7,1148.0,3.782608695652174,23.0,1.0425720702853738,crime off-beat comedy quirky,Adventure,25.165297,0.97140914
90,102,Mr. Wrong (1996),Comedy,0.0,0.0,96.0,1996-02-16,3.952,63.0,2.4,5.0,1.9493588689617927,,Comedy,16.674265,-59.6293
91,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,18000000.0,0.0,117.0,1996-02-23,5.598,112.0,3.0,3.0,0.0,,Mystery,-44.5351,-15.528695
92,104,Happy Gilmore (1996),Comedy,12000000.0,41422354.0,88.0,1996-02-16,6.673,3221.0,3.4393939393939394,99.0,0.9930182995434678,test tag golf Adam Sandler,Comedy,77.46016,16.628206
93,105,"Bridges of Madison County, The (1995)",Drama|Romance,24000000.0,182000000.0,135.0,1995-06-02,7.705,2315.0,3.282608695652174,23.0,0.8504823091062899,,Drama,46.180996,7.9735303
94,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,0.0,0.0,104.0,1994-11-07,6.157,35.0,4.0,1.0,,,Comedy,-43.096336,56.48197
95,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,31000000.0,34327766.0,99.0,1996-02-16,6.7,448.0,3.326923076923077,26.0,0.9267395285872693,muppets,Adventure,51.82279,1.6341002
96,108,Catwalk (1996),Documentary,0.0,0.0,95.0,1995-12-08,7.5,8.0,4.0,1.0,,,Documentary,-25.953484,72.88664
97,110,Braveheart (1995),Action|Drama|War,72000000.0,213216216.0,178.0,1995-05-24,7.941,10848.0,4.031645569620253,237.0,0.9677263634544532,beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland,Action,88.84224,10.011608
98,111,Taxi Driver (1976),Crime|Drama|Thriller,1900000.0,28579636.0,115.0,1976-02-09,8.13,13140.0,4.105769230769231,104.0,0.8204695462511792,assassination,Crime,79.858315,16.862972
99,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,7500000.0,76028558.0,98.0,1995-01-21,6.82,1120.0,3.5434782608695654,46.0,0.9299109094514959,,Action,57.233437,19.710272
100,113,Before and After (1996),Drama|Mystery,35000000.0,8797839.0,101.0,1996-02-23,5.9,205.0,3.3333333333333335,3.0,0.5773502691896258,,Drama,-14.3851595,-16.444681
101,116,Anne Frank Remembered (1995),Documentary,0.0,0.0,117.0,1995-06-08,7.7,23.0,3.9,5.0,1.02469507659596,Holocaust,Documentary,24.088428,27.919676
102,117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,0.0,0.0,99.0,1995-01-20,6.6,52.0,3.0,1.0,,,Crime,-65.39056,-7.643049
103,118,If Lucy Fell (1996),Comedy|Romance,5000000.0,2420162.0,92.0,1996-03-08,5.3,59.0,2.5,2.0,0.7071067811865476,,Comedy,-6.96877,-40.747566
104,119,"Steal Big, Steal Little (1995)",Comedy,25000000.0,6278139.0,135.0,1995-09-29,4.3,22.0,3.0,2.0,0.0,,Comedy,-54.68294,6.5196495
105,121,"Boys of St. Vincent, The (1992)",Drama,0.0,204540.0,93.0,1994-06-03,7.2,42.0,4.0,2.0,0.0,,Drama,-30.20124,71.94818
106,122,Boomerang (1992),Comedy|Romance,40000000.0,131052444.0,111.0,1992-06-30,5.653,609.0,2.65625,16.0,0.7238496621076322,dating,Comedy,35.399265,-29.886631
107,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,160000.0,0.0,102.0,1994-07-14,7.963,2105.0,4.375,4.0,0.9464847243000456,,Drama,11.424491,33.118366
108,125,Flirting With Disaster (1996),Comedy,7000000.0,14702438.0,92.0,1996-03-22,6.179,266.0,3.5833333333333335,12.0,1.2583057392117918,,Comedy,6.7916694,-16.1977
109,126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,17000000.0,0.0,95.0,1994-10-26,4.472,418.0,2.0,7.0,0.816496580927726,,Adventure,2.7908244,-57.502396
110,128,Jupiter's Wife (1994),Documentary,0.0,0.0,87.0,1995-09-08,7.1,7.0,3.0,1.0,,,Documentary,-65.65836,-15.824331
111,129,Pie in the Sky (1996),Comedy|Romance,0.0,0.0,95.0,1996-02-09,6.607,14.0,2.0,1.0,,,Comedy,-41.7327,-40.759754
112,132,Jade (1995),Thriller,50000000.0,9851610.0,95.0,1995-10-13,5.5,285.0,2.8333333333333335,6.0,0.752772652709081,,Thriller,37.5023,-35.517624
113,135,Down Periscope (1996),Comedy,0.0,37553585.0,92.0,1996-03-01,6.384,503.0,2.9516129032258065,31.0,1.0275767506588613,,Comedy,30.69271,-5.5622673
114,137,Man of the Year (1995),Documentary,0.0,209935.0,86.0,1995-09-15,2.786,7.0,3.0,1.0,,,Documentary,-84.63112,7.606933
115,140,Up Close and Personal (1996),Drama|Romance,60000000.0,100688562.0,129.0,1996-03-01,6.278,234.0,3.5,16.0,0.6831300510639732,journalism,Drama,54.097424,-17.704983
116,141,"Birdcage, The (1996)",Comedy,31000000.0,185300000.0,119.0,1996-03-08,7.048,1300.0,3.494186046511628,86.0,0.8418962701457717,,Comedy,77.33337,10.174611
117,144,"Brothers McMullen, The (1995)",Comedy,25000.0,19326506.0,98.0,1995-08-11,6.0,98.0,3.3333333333333335,12.0,0.8616404368553291,,Comedy,2.7638338,-12.614607
118,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,19000000.0,141407024.0,119.0,1995-04-07,6.827,6795.0,3.2450980392156863,51.0,0.8623952053415409,,Action,58.468967,11.257514
119,146,"Amazing Panda Adventure, The (1995)",Adventure|Children,0.0,7506759.0,84.0,1995-08-25,5.6,93.0,3.3333333333333335,3.0,0.5773502691896258,,Adventure,-13.2794,-5.819201
120,147,"Basketball Diaries, The (1995)",Drama,2000000.0,2381087.0,100.0,1995-04-21,7.4,2137.0,3.466666666666667,15.0,0.8549575316659775,addiction heroin Leonardo DiCaprio Mark Wahlberg,Drama,1.2127002,19.191998
121,148,"Awfully Big Adventure, An (1995)",Drama,4000000.0,851545.0,113.0,1995-05-11,6.541,68.0,5.0,1.0,,,Drama,9.78057,76.24253
122,149,Amateur (1994),Crime|Drama|Thriller,0.0,0.0,100.0,1994-08-05,6.1,102.0,2.0,1.0,,,Crime,-37.886044,-43.842857
123,150,Apollo 13 (1995),Adventure|Drama|IMAX,52000000.0,355237933.0,140.0,1995-06-30,7.5,5744.0,3.845771144278607,201.0,0.8766952306036482,moon NASA space,Adventure,87.9221,9.196524
124,151,Rob Roy (1995),Action|Drama|Romance|War,28000000.0,31600000.0,133.0,1995-04-13,6.703,693.0,3.5454545454545454,44.0,0.9512426500536989,,Action,52.674885,10.302521
125,152,"Addiction, The (1995)",Drama|Horror,0.0,302393.0,82.0,1995-10-06,6.464,304.0,1.5,2.0,0.7071067811865476,,Drama,-6.538115,-50.27688
126,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,100000000.0,336529144.0,121.0,1995-06-16,5.453,5475.0,2.9160583941605838,137.0,0.90458257977029,superhero superhero,Action,83.25816,5.7723455
127,154,Beauty of the Day (Belle de jour) (1967),Drama,0.0,0.0,101.0,1967-05-24,7.307,993.0,3.875,12.0,0.6077155435054972,,Drama,7.1809874,26.003681
128,155,Beyond Rangoon (1995),Adventure|Drama|War,23000000.0,14700000.0,100.0,1995-08-25,6.6,83.0,2.4166666666666665,6.0,1.3570801990548187,,Adventure,20.77914,-44.570236
129,156,Blue in the Face (1995),Comedy|Drama,2000000.0,1300000.0,85.0,1995-09-15,6.5,177.0,3.3333333333333335,3.0,1.1547005383792515,,Comedy,8.40827,-10.022101
130,157,Canadian Bacon (1995),Comedy|War,11000000.0,178104.0,91.0,1995-06-08,5.736,239.0,2.8636363636363638,11.0,1.0975178606954215,,Comedy,8.543756,-31.478712
131,158,Casper (1995),Adventure|Children,50000000.0,287928194.0,101.0,1995-05-26,6.333,4838.0,2.806451612903226,62.0,1.1138282776292474,,Adventure,69.973335,1.2158451
132,159,Clockers (1995),Crime|Drama|Mystery,25000000.0,13100000.0,129.0,1995-09-15,6.708,344.0,2.892857142857143,14.0,0.923591889322323,,Crime,25.696844,-7.237197
133,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,50000000.0,152022101.0,108.0,1995-06-09,5.586,954.0,2.8771929824561404,57.0,1.0276564086481381,Michael Crichton,Action,58.397354,0.67862296
134,161,Crimson Tide (1995),Drama|Thriller|War,53000000.0,157387195.0,115.0,1995-05-12,7.176,1932.0,3.6359223300970873,103.0,0.8778152881915151,submarine,Drama,79.67697,8.225929
135,162,Crumb (1994),Documentary,0.0,3041083.0,120.0,1994-09-10,7.5,273.0,4.205882352941177,17.0,0.6388178420286317,In Netflix queue,Documentary,16.70265,31.907608
136,163,Desperado (1995),Action|Romance|Western,7000000.0,25405445.0,107.0,1995-08-25,6.926,3059.0,3.5606060606060606,66.0,0.9942726429798261,,Action,65.40726,18.922678
137,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,27000000.0,16140822.0,97.0,1995-09-29,6.45,441.0,3.3214285714285716,14.0,0.7747739833491605,,Crime,31.273226,-12.022854
138,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,90000000.0,366101666.0,128.0,1995-05-19,7.276,6510.0,3.5555555555555554,144.0,0.92197551488033,,Action,83.168045,6.073187
139,166,"Doom Generation, The (1995)",Comedy|Crime|Drama,800000.0,284785.0,85.0,1995-10-20,6.5,301.0,2.8333333333333335,3.0,1.2583057392117916,,Comedy,12.565316,-36.176556
140,168,First Knight (1995),Action|Drama|Romance,55000000.0,127600435.0,129.0,1995-07-07,6.101,1309.0,3.0833333333333335,54.0,1.298584134631631,,Action,62.54336,0.56646824
141,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,31000000.0,30077111.0,95.0,1995-07-19,5.917,614.0,2.4,10.0,0.9944289260117533,,Adventure,24.381638,-38.645576
142,170,Hackers (1995),Action|Adventure|Crime|Thriller,20000000.0,7563728.0,105.0,1995-09-14,6.38,1418.0,3.2285714285714286,35.0,0.9183013181545423,,Action,53.551224,3.3796291
143,171,Jeffrey (1995),Comedy|Drama,0.0,3487767.0,92.0,1995-08-18,6.2,67.0,3.8333333333333335,6.0,0.983192080250175,,Comedy,3.939177,-0.49656144
144,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,25000000.0,19075720.0,98.0,1995-05-26,5.767,1474.0,2.6792452830188678,53.0,1.070111153566272,,Action,57.50944,2.2205892
